Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C2, C3, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,4,0.1μF,
D1,LED_D3.0mm,1,error_LED,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,1k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,300,
"RN1, RN2, RN3, RN4",R_Array_SIP5,4,10k,
SW1,SW_PUSH-12mm,1,reset_btn,
SW2,SW_PUSH-12mm,1,start_stop_btn,
"SW3, SW4, SW5, SW6",A7D-206-1_OMR,4,A7D-206-1,
U1,LTC-4627Jx,1,OSL-40391-LX,
U2,DIP-16_W7.62mm_Socket,1,74HC595,
"U3, U4",DIP-16_W7.62mm_Socket,2,74HC165,
U5,DIP-14_W7.62mm_Socket,1,74HC00,
