Designator,Mid X,Mid Y,Rotation,Layer
A2,122.3,-111.88,270.0,top
C1,150.0,-111.5,270.0,top
C2,91.0,-120.0,90.0,top
C3,86.0,-86.5,270.0,top
C4,58.975,-124.575,270.0,top
D1,84.0,-135.0,180.0,top
R1,111.0,-79.5,270.0,top
R2,116.0,-79.5,270.0,top
R3,121.0,-79.5,270.0,top
R4,126.0,-79.5,270.0,top
R5,131.0,-79.5,270.0,top
R6,136.0,-79.5,270.0,top
R7,141.0,-79.5,270.0,top
R8,146.0,-79.5,270.0,top
R9,70.42,-135.0,0.0,top
RN1,64.84,-67.1,180.0,top
RN2,83.84,-67.1,180.0,top
RN3,83.88,-105.0,180.0,top
RN4,64.96,-105.0,180.0,top
SW1,120.75,-130.5,0.0,top
SW2,151.25,-129.5,0.0,top
SW3,83.92,-96.5,90.0,top
SW4,65.0,-96.5,90.0,top
SW5,83.92,-58.5,90.0,top
SW6,64.92,-58.5,90.0,top
U1,126.89,-59.08,90.0,top
U2,126.19,-95.31,270.0,top
U3,74.57,-79.81,0.0,top
U4,75.19,-119.31,0.0,top
U5,49.69,-124.04,0.0,top
